Rk,Player,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
157,Michael Frazier\frazimi01,12.8,9.8,0.0,0.0,0.0,.016,-7.9,-0.9,-8.8,-0.1
158,Tim Frazier\fraziti01,25.6,17.3,-0.1,0.2,0.1,.016,-2.9,-1.6,-4.5,-0.2
159,Markelle Fultz\fultzma01,15.1,20.7,0.8,1.9,2.7,.071,-1.9,0.2,-1.7,0.1
160,Wenyen Gabriel\gabriwe01,22.6,14.5,0.0,0.2,0.2,.043,-3.9,0.0,-3.9,-0.1
160,Wenyen Gabriel\gabriwe01,18.9,18.9,-0.1,0.1,0.0,-0.027,-4.4,0.5,-3.9,0.0
160,Wenyen Gabriel\gabriwe01,24.8,12.6,0.1,0.1,0.2,.072,-3.7,-0.2,-3.9,-0.1
161,Daniel Gafford\gaffoda01,15.3,13.3,1.1,0.8,1.8,.146,-2.8,1.5,-1.3,0.1
162,Danilo Gallinari\gallida01,7.5,24.4,4.1,1.6,5.7,.163,4.1,-0.9,3.2,2.2
163,Langston Galloway\gallola01,6.5,15.9,2.4,0.7,3.1,.087,0.1,-0.9,-0.8,0.5
164,Darius Garland\garlada01,17.1,20.7,-1.3,0.0,-1.3,-0.035,-2.7,-2.9,-5.6,-1.7
165,Marc Gasol\gasolma01,14.6,12.7,0.9,1.8,2.7,.128,-0.9,2.7,1.8,0.9
166,Rudy Gay\gayru01,12.4,21.3,0.6,0.9,1.5,.054,-0.5,-1.0,-1.5,0.2
167,Paul George\georgpa01,13.0,29.6,1.9,2.0,3.9,.153,3.4,1.1,4.5,2.0
168,Taj Gibson\gibsota01,13.1,14.8,1.8,0.8,2.6,.120,-0.7,-0.4,-1.1,0.2
169,Harry Giles\gilesha01,13.4,19.6,0.7,0.7,1.4,.120,-2.2,1.1,-1.1,0.1
170,Shai Gilgeous-Alexander\gilgesh01,9.8,23.7,2.9,2.6,5.5,.120,1.4,0.2,1.6,2.0
171,Rudy Gobert\goberru01,15.2,16.1,6.0,4.0,10.0,.225,1.8,1.9,3.7,3.1
172,Brandon Goodwin\goodwbr01,12.5,22.4,-0.1,0.2,0.1,.013,-1.5,-1.3,-2.9,-0.1
173,Aaron Gordon\gordoaa01,10.3,20.6,1.2,2.2,3.3,.084,-0.3,0.1,-0.3,0.8
174,Eric Gordon\gordoer01,6.9,22.1,0.2,0.5,0.7,.037,-1.6,-2.0,-3.6,-0.4
175,Devonte' Graham\grahade01,14.5,24.8,2.5,0.9,3.4,.073,2.6,-2.1,0.5,1.4
176,Treveon Graham\grahatr01,9.8,13.1,-0.2,0.4,0.2,.009,-4.5,-1.1,-5.5,-0.8
176,Treveon Graham\grahatr01,9.0,13.1,-0.2,0.3,0.0,.003,-5.0,-0.8,-5.8,-0.6
176,Treveon Graham\grahatr01,11.7,13.3,0.0,0.1,0.1,.022,-3.2,-1.7,-4.9,-0.2
177,Jerami Grant\grantje01,8.0,17.8,2.4,1.7,4.0,.116,-0.1,-0.4,-0.4,0.7
178,Josh Gray\grayjo01,71.4,12.4,-0.1,0.0,-0.1,-0.224,-11.3,-4.7,-16.0,-0.1
179,Danny Green\greenda02,10.8,13.8,1.1,2.4,3.4,.108,-0.8,1.7,0.9,1.1
180,Draymond Green\greendr01,21.8,15.7,-0.2,1.3,1.1,.044,-2.0,1.9,-0.2,0.6
181,JaMychal Green\greenja01,12.3,13.5,0.8,1.8,2.6,.111,-1.4,0.6,-0.8,0.3
182,Javonte Green\greenja02,13.7,13.6,0.3,0.7,1.0,.112,-2.4,1.8,-0.6,0.1
183,Jeff Green\greenje02,10.9,18.9,0.6,0.8,1.4,.089,-0.4,0.0,-0.5,0.3
